Nro. IMNC,Nombre Insp.,Taller Insp.,Taller IMNC,Sec. Costo,Causa,Estado,Fecha IMNC,Fecha Disp.,Disposición,Fec.Cierre,Fec. Comp. Tareas,Prog OTG,SA IMNC,Cliente,Contrato,OTG Origen,OTP Origen,Agrupador OTP Origen,Operación,Desc. Operación,Taller de la Ope.,Doc. Cliente,Cod.Prov.,Proveedor,Nro. Parte,Nro. Serie,Desc.,Desc. Discrepancia.,Cód. Novedad,OTG Resolución,OTP Resolución,Agrupadora Resolución,Taller Ope ó Taller IMNC,Tecnologia Taller,Matricula / N° Plano
60134,Aioros,3788,3870,975.0,Métodos,Cerrado,29/11/2024,10/12/2024,,12/12/2024,11/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933022,753229,390622.0,0,,,,,Goku,395-05400-431,1-1,CONJUNTO RACK DE ELECTRONICA (SUP),"SOPORTE, BAHIA ELEC. 2 395-08145-005 presenta c/u 2 perforaciones fuera de tolerancia y SUPPORT TIE ROD,EBAY 390-14126-401 presenta c/u 3 perforaciones fuera de tolerancia",AGU-008,41933822.0,756967.0,60134.0,3870,ARMADO,22 - 22
60135,Hyoga,3748,3748,,,Cerrado,30/11/2024,05/12/2024,,30/12/2024,30/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,752215,0.0,10,"MECANIZAR EN FRESA CNC SEGUN PROGRAMAS, INSTRUCTIVO Y CROQUIS.
ALESAR POR CNC SEGÚN IPT-PAM-0967
IDENTIFICAR CON ETIQUETA COLGANTE SEGUN IPT-PAM-0492 METODO K.
",310.0,,,Goku,390-57245-003_MF,N/S,"COSTILLA,CARENA MOVIL 4,FLAP-IZQ","Las 3 Piezas presentan novedades en referencias 5; 8; 9; 11 y 17, la pieza N° 3 también tiene novedad en la referencia 13. Ver informe adjunto.
Las 3 piezas presentan resaltos de hasta 0.3 mm en radios Rebabas y resaltos con radio cero en pestañas y ranuras de las perforaciones de Ø 35.5 mm que no permiten colocar el seeger.
Ref  21: 2(-0.1) esta sobre medida, tiene entre 2.15 y 2.2 mm",GYD-003,41932805.0,756748.0,60135.0,310,CONTROL NUMÉRICO,21 - 23
60136,Hyoga,3748,3748,,,Cerrado,30/11/2024,05/12/2024,,11/12/2024,11/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,752244,0.0,10,"MECANIZAR EN FRESA CNC SEGUN PROGRAMAS, INSTRUCTIVO Y CROQUIS.
ALESAR POR CNC SEGÚN IPT-PAM-0967
IDENTIFICAR CON ETIQUETA COLGANTE SEGUN IPT-PAM-0492 METODO K.
",310.0,,,Goku,390-04285-003_MF,N/S,"COSTILLA,CARENA MOVIL 1,FLAP-DER","Inspección 3 D
Pieza 2: Ref fuera de tolerancia 5; 6; 7; 8; 11 y 14
Pieza 3: Ref fuera de tolerancia 5; 6; 7; 11 y 14 Ver informe adjunto.
Las 3 piezas presentan rebabas y resaltos en ranuras y pestañas de los diámetros 35.5 mm y alrededor de los conos
Ref 19: 2(±0.1) esta sobre medida, tiene 2.15 mm",GYD-003,41932805.0,756725.0,60136.0,310,CONTROL NUMÉRICO,20 - 22
60137,Hyoga,3748,3748,,,Cerrado,30/11/2024,03/12/2024,,06/12/2024,06/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,752245,0.0,10,"MECANIZAR EN FRESA CNC SEGUN PROGRAMAS, INSTRUCTIVO Y CROQUIS.
ALESAR POR CNC SEGÚN IPT-PAM-0967
IDENTIFICAR CON ETIQUETA COLGANTE SEGUN IPT-PAM-0492 METODO K.
",310.0,,,Goku,390-04284-003_MF,N/S,"COSTILLA,CARENA MOVIL 1,FLAP-IZQ","Inspección 3 D
Pieza 1: Ref  10 fuera de tolerancia
Piezas 2 y 3: Ref 10 y 11 fuera de tolerancia Ver informe adjunto.
Las 3 piezas presentan rebabas y resaltos en ranuras y pestañas de los diámetros 35.5 mm.",GYD-003,41932805.0,756519.0,60137.0,310,CONTROL NUMÉRICO,20 - 22
60138,Aioros,3788,3870,,,Cerrado,01/12/2024,03/12/2024,,11/12/2024,11/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933022,753229,390622.0,0,,,,,Goku,395-05400-431,22-22,CONJUNTO RACK DE ELECTRONICA (SUP),"SUBCONJ-SOPORTE, INTERFACE, RACK	 390-0551-403_MF1 presenta  C/U 3 perforaciones fuera e tolerancia para HST11BJ6.",AGU-008,41933822.0,756530.0,60138.0,3870,ARMADO,22 - 22
60139,Aioros,3788,3870,975.0,Métodos,Cerrado,01/12/2024,10/12/2024,,11/12/2024,11/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933022,753229,390622.0,0,,,,,Goku,395-11502-413_MF1,22-22,"VIGA, BAHIA ELEC. 2","VIGA, BAHÍA ELEC. 2 395-11502-413_MF1 con perforaciones ovalizadas",AGU-008,41933822.0,756965.0,60139.0,3870,ARMADO,22 - 22
60140,Seiya,3768,1501,,,Cerrado,02/12/2024,03/12/2024,,05/12/2024,05/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,750645,0.0,55,"REALIZAR FRESADO QUÍMICO S/NE 41-013 (NPF/PRE/010 E IOP/PRE/0085) DE 2,5 A 2,2, 2,0, 1,6, 1,3 Y 1,0 MM.
REGISTRAR TIEMPO Y TEMPERATURA DE FRESADO QUÍMICO: 

NOTA: RETIRAR LACA DE ENMASCARADO COMPLETAMENTE",1501.0,,,Goku,390-47416-001_MF,20-20,RECUBRIMIENTO CENTRAL IZQUIERDO,"Se observa que la pieza presenta una infiltración del fresado, esta infiltración genero un poro grande de 2 x 3 mm y de profundidad de aprox 0.33 mm, en una zona de espesor 2 +/- 0.15 mm",TTS-011,41932805.0,756561.0,60140.0,1501,PROCESO QUIMÍCO,20 - 20
60141,Shun,3748,3748,,,Cerrado,02/12/2024,03/12/2024,,05/12/2024,05/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,750552,0.0,45,INSPECCIONAR SEGÚN PLAN DE INSPECCIÓN.,3748.0,,,Goku,390-47702-006_MF,19-19,"COSTILLA DE CIERRE, AF18 AF23","La pieza presenta discrepancias en las referencias 5, 7 y 16 del plan de inspección. Informe adjunto.",GYD-015,41932805.0,756485.0,60141.0,3748,VARIOS - (ANULAR DESPUES DE ACT.TABLA TALLERES),19 - 19
60142,Hyoga,3748,3748,,,Cerrado,02/12/2024,03/12/2024,,10/12/2024,10/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,752219,0.0,10,"MECANIZAR EN FRESA CNC SEGUN PROGRAMAS, INSTRUCTIVO Y CROQUIS.
ALESAR POR CNC SEGÚN IPT-PAM-0967
IDENTIFICAR CON ETIQUETA COLGANTE SEGUN IPT-PAM-0492 METODO K.
",310.0,,,Goku,390-04284-004_MF,N/S,"COSTILLA,CARENA MOVIL 1,FLAP-DER","Las 3 piezas presentan REF 6 y 11 del PI fuera de tolerancias, ver informa adjunto.
Presentan rebabas en las ranuras frontales y las para seeger imposibilitando el ingreso del inserto.",GYD-003,41932805.0,756486.0,60142.0,310,CONTROL NUMÉRICO,21 - 23
60143,Kanon,3768,416,,,Cerrado,02/12/2024,09/12/2024,,16/12/2024,16/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,753516,0.0,45,"ENMASCARAR ZONA DE CONTACTO A MASA S/ IOP/PRE/0255 E IPT/PRE/0045.

PROTEGER AGUJEROS TOLERADOS S/ IPT/PAM/0041.",416.0,,,Goku,390-57516-402_MF,19-19,"HINGE LATERAL 2,RH",Contacto a masa se realizo lado contrario según IPT-PRE-0045 .,PIN-008,41932805.0,757013.0,60143.0,416,PROCESO QUIMÍCO,19 - 19
60144,Aioria,3788,3870,,,Vigente c/OTP,03/12/2024,06/12/2024,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932101,100010,0.0,0,,,PT 2019/419361,,Goku,390-12419-003,S/N,"PERFIL OMEGA, BAHIA ELEC. 2",Las piezas fueron procesadas con Conversion Quimica durante el periodo afectado a resultado NO APTO de ensayo de resistencia a la corrosion segun IMNC 60044. Piezas primarias afectadas: VER ANEXO ADJUNTO.,TTS-006,41932805.0,756864.0,60144.0,3870,ARMADO,0 - 0
60145,Aioria,3788,3870,,,Cerrado,03/12/2024,17/12/2024,,18/12/2024,18/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932101,100010,0.0,0,,,PT 2019/419361,,Goku,390-47610-001,S/N,"SUPLEMENTO, REFUERZO-PTA CARGA, AL","Las piezas fueron procesadas con Conversion Quimica durante el periodo afectado a resultado NO APTO de ensayo de resistencia a la corrosion segun IMNC 59294. Piezas primarias afectadas: 
Suplemento,refuerzo-pta carga,al P/N 390-47610-001 c/u 90
Shim gusset P/N 390-47611-001 C/U 90",TTS-006,,,,3870,ARMADO,0 - 0
60146,Ikki,3728,3870,,,Cerrado,03/12/2024,03/12/2024,,05/12/2024,04/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933018,751628,390318.0,0,,,,,Goku,390-47505-001_MF1,18-18,"CUAD. 22, GANCHO 05-PUERTA DE CARGA","En armado de CUAD. 22, GANCHO 05-PUERTA DE CARGA 390-47505-001_MF1 se observa al instalar remache HST12BJ6 en FITTING,AUXILIARY RAMP 390-47618-401 marca de herramienta. Ver detalle en anexo",ADE-011,41933818.0,756506.0,60146.0,3870,ARMADO,18 - 18
60147,Shun,3748,3748,,,Cerrado,03/12/2024,05/12/2024,,09/12/2024,09/12/2024,Tiger I,Tiger I,Jamir,Tiger I,42100204,754238,5.0,30,"INSPECCIONAR ASPECTO VISUAL, DIMENSIONES E IDENTIFICACION SEGUN PLANO.",3748.0,PT 2020/100100,,Goku,100B--411112A03B,1-1,BUJE,"En ambas piezas el diámetro interior se encuentra hasta 0.04 mm por encima del máximo y aun falta rectificar diámetros interiores y exteriores.
Las dos piezas presentan corrosión.",AGU-006,42100284.0,756831.0,60147.0,3748,VARIOS - (ANULAR DESPUES DE ACT.TABLA TALLERES),1 - 1
60148,Aioria,3788,3870,,,Cerrado,03/12/2024,03/12/2024,,11/12/2024,04/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41943124,754463,0.0,0,,,,,Goku,390-57231-411,0-0,CARENADO DE FLAP #1 MOV.,"Durante armado de carenado de flap #1 mov izq. P/N 390-57231-411 ,se observa c/u 1 perforación fuera de tolerancia para instalación de remache UAB130-EU05, en union de costilla carenado movil P/N 390-57286-001_MF y carenado.",AGU-006,41942924.0,756507.0,60148.0,3870,ARMADO,0 - 0
60149,Mu,3758,3748,,,Cerrado,03/12/2024,03/12/2024,,08/01/2025,08/01/2025,Tiger I,Tiger I,Jamir,Tiger I,42100204,747869,5.0,30,"INSPECCIÓN FINAL, VERIFICAR QUE LAS OPERACIONES ANTERIORES ESTEN CUMPLIDAS Y SELLADAS.
INSPECCIONAR SEGUN IT, IDENTIFICACION SEGUN NPF/GER/006, PLANO PD3.
IDENTIFICAR SEGÚN IPE 21.002.

",3748.0,PT 2020/100100,,Goku,100B--413131A05B,1-1,TERMINAL,Roscas fuera de Tolerancia. Para dar Scrap: disposición tomada por Cragnolini en QA22  4930,PAM-009,42100284.0,756566.0,60149.0,3748,VARIOS - (ANULAR DESPUES DE ACT.TABLA TALLERES),1 - 1
60150,Shun,3748,3748,,,Cerrado,03/12/2024,03/12/2024,,10/12/2024,10/12/2024,Tiger I,Tiger I,Jamir,Tiger I,42100204,754239,5.0,30,"INSPECCIONAR ASPECTO VISUAL, DIMENSIONES E IDENTIFICACION SEGUN PLANO.",3748.0,PT 2020/100100,,Goku,100B--411112A04B,1-1,BUJE,Las dos piezas se encuentran con los diámetros interiores 0.07 mas grandes y aun falta rectificar. Se observa corrosión en toda la superficie.,AGU-006,42100284.0,756936.0,60150.0,3748,VARIOS - (ANULAR DESPUES DE ACT.TABLA TALLERES),1 - 1
60151,Shiryu,3758,3748,975.0,Métodos,Cerrado,03/12/2024,04/12/2024,,13/12/2024,13/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932104,755105,0.0,25,"INSPECCIONAR SEGUN PLAN DE INSPECCION.
",9320.0,,,Goku,390-04124-001_MF,20-20,"FIJACION PLACA TRAS,CARENADO FIJO",De acuerdo a plan de insp. 390-04124-001_MF REV A la ref. 7 se encuentra fuera de tolerancia en las piezas 1-2-4-6-7-8-9. Ver informes adjuntos en red. \\Srie04in1\\mediciones 3d\\SALA DE MMC - PAM\\MEDICIONES\\KC 390\\390-04124-001_MF\\390-04124-001_MF_OTP755105,GYD-015,41932804.0,756682.0,60151.0,9320,CONTROL DE CALIDAD,20 - 20
60152,Seiya,3768,403,,,Cerrado en Disposición,03/12/2024,04/12/2024,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932104,755828,0.0,25,"DESANIDAR (Cortar micro-uniones) S/IPT/PAM/0826.
 RETIRAR EL EXCESO DE CONTORNO Y REBABAR  DE ACUERDO CON NE03-051 (NPF/PAM/008)
REALIZAR LIMPIEZA MANUAL S/NE40-012 (NPF/PRE/029 E IOP/PRE/0054). IDENTIFICAR CON ETIQUETA COLGANTE. S/ NPF/GER/006.
",405.0,,,Goku,PE12017-12_MF,19-21,PERFIL L,"Se observa en C/U 16 piezas que hay discrepancia en las cotas de pestaña. Las tolerancias permitidas son de 0.8 mm , y en las piezas están en 1 mm y hasta 1.4 mm.",GYD-005,,,,405,CHAPA,19 - 21
60153,Shiryu,3758,3748,451.0,Materiales,Cerrado,03/12/2024,06/12/2024,,18/12/2024,18/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,752109,0.0,35,INSPECCIONAR SEGÚN PLAN DE INSPECCIÓN.,9320.0,,,Goku,390-14136-401,21-23,"SUPPORT TIE ROD,EBAY",Ambas piezas presentan falta de material en zona indicada. Ver imagen adjunta (piezas sin control dimensional),GYD-003,41932805.0,756862.0,60153.0,9320,CONTROL DE CALIDAD,21 - 23
60154,Aioros,3788,203,,,Cerrado,03/12/2024,04/12/2024,,06/12/2024,06/12/2024,Tiger I,Tiger I,Jamir,Tiger I,42100209,756069,0.0,0,,,PT 2020/100100,,Goku,100B--227023A00C,1-1,PESTANIA REFUERZO,PESTANIA REFUERZO 100B--227023A00C NCOT 746580 mal identificado corresponde  100B--227013A00C,PIN-004,42100282.0,756549.0,60154.0,203,MATERIAL COMPUESTO,1 - 1
60155,Aioros,3788,203,,,Cerrado,03/12/2024,04/12/2024,,06/12/2024,06/12/2024,Tiger I,Tiger I,Jamir,Tiger I,42100209,756069,0.0,0,,,PT 2020/100100,,Goku,100B--220000A00V,1-1,FUSELAJE POSTERIOR OP20,PESTANIA REFUERZO 100B--227013A00C NCOT 746580 mal identificado corresponde 100B--227023A00C y posee etiqueta pegada en cara de pegado,PIN-004,42100282.0,756550.0,60155.0,203,MATERIAL COMPUESTO,1 - 1
60156,Dohko,3798,203,,,Cerrado,03/12/2024,18/12/2024,,09/01/2025,09/01/2025,Panzer IV,Panzer IV,Santuario,Panzer IV,41932203,753622,52017.0,0,,,,,Goku,390-56905-406_MF,19-19,CARENADO DE FLAP FIJO # 4 DER.,"La pieza CARENADO DE FLAP FIJO # 4 DER. 390-56905-406_MF presenta en lado interno, Varias zonas con arrugas .",COM-023,41932903.0,757655.0,60156.0,203,MATERIAL COMPUESTO,19 - 19
60157,Camus,3758,3870,,,Cerrado,03/12/2024,04/12/2024,,11/12/2024,11/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933019,752779,390819.0,135,"PROCEDER CONTROL DIMENSIONAL SEGÚN PI 390-57231-410 

REGISTRAR

PN DEL INSTRUMENTO:

FECHA DE VENCIMIENTO:",0.0,,,Goku,390-57231-412,19-19,CARENADO DE FLAP #1 MOV.,"Características 8-9-10-11-13 de PI 390-57231-412 REV A se encuentra fuera de tolerancia, se adjunta informe de medición.",GYD-015,41933819.0,756623.0,60157.0,3870,ARMADO,19 - 19
60158,Hyoga,3748,3748,,,Cerrado,03/12/2024,06/12/2024,,10/12/2024,10/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,752253,0.0,10,"MECANIZAR EN FRESA CNC SEGUN PROGRAMAS, INSTRUCTIVO Y CROQUIS.
ALESAR POR CNC SEGÚN IPT-PAM-0967
IDENTIFICAR CON ETIQUETA COLGANTE SEGUN IPT-PAM-0492 METODO K.
",310.0,,,Goku,390-04282-004_MF,N/S,"COSTILLA,CARENA MOVIL 3,FLAP-DER","Las 3 piezas presentan las REF 7, 8, 12, 15 y 16 del PI fuera de tolerancias Inspección 3D
Presentan rebabas en ranuras frontales, en ranuras para seeger y en el interior del alojamiento de 35.5 mm",GYD-003,41932805.0,756833.0,60158.0,310,CONTROL NUMÉRICO,21 - 23
60159,Aioros,3788,1209,,,Vigente c/OTP,03/12/2024,04/12/2024,,,,Tiger I,Tiger I,Jamir,Tiger I,42100209,756069,0.0,0,,,PT 2020/100100,,Goku,100B--220000A00V,1-1,FUSELAJE POSTERIOR OP20,Recubrimiento 100B-227010A00C posee interferencia en zonas varias ver anexo,ADE-003,42100282.0,756610.0,60159.0,1209,,1 - 1
60160,Aioros,3788,3870,,,Cerrado,03/12/2024,04/12/2024,,05/12/2024,04/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933022,753229,390622.0,0,,,,,Goku,395-05400-431,22-22,CONJUNTO RACK DE ELECTRONICA (SUP),"CHAPA, BAHÍA ELEC. 2 395-14948-403_MF1,SOPORTE, ARNÉS  390-15789-001 SOPORTE, CONECTOR-DEL, AL 390-07639-005_MF con perforaciones fuera de tol",AGU-008,41933822.0,756532.0,60160.0,3870,ARMADO,22 - 22
60161,Aioros,3788,403,,,Cerrado,03/12/2024,05/12/2024,,12/12/2024,11/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933022,753229,390622.0,0,,,,,Goku,395-05400-431,22-22,CONJUNTO RACK DE ELECTRONICA (SUP),"Imposibilidad de montar CHAPA, RACK SUPERIOR ELECTRONICA 390-05484-401 debido a que las perforaciones de unión no son coincidentes con las  SOPORTE LATERAL, BAHÍA ELEC. 2
395-12156-409, esta ultima posee mas perforaciones que la que solicita diseño",AGU-009,41933822.0,756715.0,60161.0,403,CHAPA,22 - 22
60162,Aioros,3788,3870,,,Cerrado,03/12/2024,04/12/2024,,05/12/2024,05/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933022,753229,390622.0,0,,,,,Goku,395-05400-431,22-22,CONJUNTO RACK DE ELECTRONICA (SUP),"Se observa faltante de CU 2 Metalizaciones en Viga 395-12157-403MF1 provista a linea de armado, zona de unión con Omega 390-14480-401MF1. IMNC repetitivo ver 59197- 50625 - 53469 - 55144 - 56677- 58463 . CD 202590347.",PIN-008,41933822.0,756533.0,60162.0,3870,ARMADO,22 - 22
60163,Aioria,3788,3870,,,Cerrado,04/12/2024,04/12/2024,,05/12/2024,04/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933020,754414,390820.0,0,,,,,Goku,390-04163-403-903,20,CONJ. PINTADO CARENADO FLAP MOVIL 1,"Se observa C/U 1 perforacion ovalizada con avellanado fuera de tolerancia en cubierta ,carenado movil,flap,al P/N 390-56927-003_MF",AGU-008,41933820.0,756524.0,60163.0,3870,ARMADO,20 - 20
60164,Afrodita,3738,203,,,Anulado,04/12/2024,,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932203,753612,52017.0,0,,,,,Goku,390-56926-405_MF,19-19,CARENADO DE FLAP FIJO # 3 IZQ.,La pieza CARENADO DE FLAP FIJO # 3 IZQ. 390-56926-405_MF presenta 4 zonas con ruptura de malla metalica y cortes de la fibra de carbono donde no estaria permitido el tope a tope.,COM-021,,,,203,MATERIAL COMPUESTO,19 - 19
60165,Aioria,3788,3870,,,Cerrado,04/12/2024,04/12/2024,,11/12/2024,10/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933022,753229,390622.0,0,,,,,Goku,395-05400-431,22,CONJUNTO RACK DE ELECTRONICA (SUP),"DURANTE ARMADO DE CONJUNTO RACK ELECTRONICA SUP. P/N 395-05400-431 ,SE OBSERVA C/U1 PERFIL P/N PE29080-2T ( NCOT 745957) PROVISTO MAL IDENTIFICADO, SEGÚN GEOMETRÍA PERTENECE A P/N PE29051-23.",PIN-004,41933822.0,756698.0,60165.0,3870,ARMADO,22 - 22
60166,Shun,3748,3748,,,Vigente c/OTP,04/12/2024,05/12/2024,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932805,754208,59870.0,45,INSPECCIONAR SEGÚN PLAN DE INSPECCIÓN,3748.0,PT 2019/419361,,Goku,390-57714-406_MF,0-0,"CHARNELA CENTRAL,DER-SPOILER 5","La pieza presenta referencias 21 y 22 fuera de tolerancia. Plan de inspección pide espesor mínimo 9.906 y máximo 10.160mm y tienen 9.823 y 9.901. Se adjunta informe.
La pieza presenta un radio de 8 mm y el plan de inspección pide 5 mm. Los chaflanes de los diámetros 25.4 se encuentran se encuentran desplazados.",GYD-007,41932805.0,756714.0,60166.0,3748,VARIOS - (ANULAR DESPUES DE ACT.TABLA TALLERES),0 - 0
60167,Ikki,3728,3870,,,Cerrado,04/12/2024,05/12/2024,,12/12/2024,11/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933020,753240,390920.0,0,,,,,Goku,390-57810-408,20-20,SPOILER 6 DERECHO,En armado de SPOILER 6 DERECHO 390-57810-408 se observa imposibilidad de posicionar Charnela Central 390-57814-406_MF por interferencia con perno de utillaje. Perno Fue sustituido pero se mantiene la novedad. Posible novedad de diámetro en buje central de charnela.,ADE-003,41933820.0,756859.0,60167.0,3870,ARMADO,20 - 20
60168,Ikki,3728,3870,975.0,Materiales,Cerrado,04/12/2024,05/12/2024,,11/12/2024,10/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933020,753233,390920.0,0,,,,,Goku,390-57810-407,20-20,SPOILER 6 IZQUIERDO,En armado de SPOILER 6 IZQUIERDO 390-57810-407 se observa imposibilidad de posicionar Charnela 390-57815-401_MF por interferencia con perno de utillaje. Perno Fue sustituido pero se mantiene la novedad. Posible novedad de diámetro en buje central de charnela.,ADE-003,41933820.0,756860.0,60168.0,3870,ARMADO,20 - 20
60169,Aldebaran,3788,1222,,,Vigente c/OTP,04/12/2024,05/12/2024,,,,Tiger I,Tiger I,Jamir,Tiger I,42100201,745781,0.0,280,"Posicionar RECUBRIMIENTO EXTRADOS (POS. 28) sobre el Gripper y ajustar cada uno de los AC. Posicionar RECUBRIMIENTO EXTRADOS
(POS. 28) sobre la estructura de la semiala fijando el Gripper a la base del utillaje. Verificar espesores de pegado entre RECUBRIMIENTO
EXTRADOS (POS. 28) todas las piezas de la estructura armada.",222.0,PT 2020/100100,,Goku,100B--120000A00U,1-1,ALA DER. PRE-EQUIPADA,"Ref. QA22: 5065. Al posicionar Gripper con Recubrimiento Extrados (Pos. 29) P/N: 100B120320A00C para realizar relevamiento de luces, se observa que en Costilla Frontal 2 (Pos.24) P/N: 100B120230A00C hacia puntera y Costilla Cierre Tanque hacia borde de Ataque carece de luz de separación según Norma Nivel I y II (Medido 0 mm).-",ADE-004,42100281.0,756722.0,60169.0,222,,1 - 1
60170,Ikki,3728,3870,,,Cerrado,04/12/2024,05/12/2024,,11/12/2024,10/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933022,753229,390622.0,0,,,,,Goku,395-05400-431,22-22,CONJUNTO RACK DE ELECTRONICA (SUP),"En armado de RACK 395-05400-431 se observa interferencia de 1.5 mm aprox. al montar C/U 2 CLOSING,EBAY 2 390-14878-001 en C PROFILE,UPPER MID RACK 390-12239-003 con Lateral 395-12156-409 y CENTRAL BEAM,EBAY2 395-12229-409. Ver Adjunto.",ADE-003,41933822.0,756891.0,60170.0,3870,ARMADO,22 - 22
60171,Camus,3758,3870,,,Cerrado en Disposición,05/12/2024,05/12/2024,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41933019,752773,390819.0,135,"PROCEDER CONTROL DIMENSIONAL SEGÚN PI 390-57233-409/-410 

REGISTRAR

PN DEL INSTRUMENTO:

FECHA DE VENCIMIENTO:",0.0,,,Goku,390-57233-411,19-19,CARENADO DE FLAP #3 MOV.,Característica 9 de PI 390-57233-411 REV A se encuentra fuera de tolerancia; se adjunta informe de medición.,GYD-015,,,,3870,ARMADO,19 - 19
60172,Ikki,3728,3870,,,Cerrado,05/12/2024,06/12/2024,,11/12/2024,11/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933022,753229,390622.0,0,,,,,Goku,395-05400-431,22-22,CONJUNTO RACK DE ELECTRONICA (SUP),"En armado de CONJUNTO RACK DE ELECTRONICA (SUP) 395-05400-431 se observa C/U 3 marcas de herramienta en instalación de remaches de acuerdo a diseño zona de CENTRAL BEAM,EBAY2 395-12229-409, C PROFILE,UPPER MID RACK 390-12270-403 y SUPPORT,TIE ROD,EBAY 390-14143-401. Ver detalle en anexo",ADE-011,41933822.0,756890.0,60172.0,3870,ARMADO,22 - 22
60173,Shion,9317,3140,,,Vigente c/disposición de CRP/CRM,05/12/2024,10/12/2024,,,,Tiger II,Tiger II,Jamir,Tiger II,54154801,76679,536599.0,0,,,PT 2024/213071,,Goku,6871447,11903,REPARACION - CARTER ESTATOR,METALIZADO DEL DIAMETRO INTERIOR DEFICIENTE,MAN-002,,,,3140,,0 - 0
60174,Camus,3758,3870,,,Cerrado en Disposición,05/12/2024,,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41933019,752770,390819.0,135,"PROCEDER CONTROL DIMENSIONAL SEGÚN PI 390-57232-409 REV_

REGISTRAR

PN DEL INSTRUMENTO:

FECHA DE VENCIMIENTO:",0.0,,,Goku,390-57232-411,19-19,CARENADO DE FLAP #2 MOV.,Característica 9 de PI 390-57232-411 REV A se encuentra fuera de tolerancia; se adjunta informe de medición.,GYD-015,,,,3870,ARMADO,19 - 19
60175,Seiya,3768,9455,,,Cerrado,05/12/2024,11/12/2024,,09/01/2025,09/01/2025,Panzer IV,Panzer IV,Santuario,Panzer IV,41932804,756009,60066.0,0,,,PT 2019/419361,,Goku,390-47453-001_MF,18-18,LARGUERILLO 03 IZQUIERDO,"Se observa de forma visual sin aumento, luego de limpieza con métodos abrasivos y mek, la presencia de corrocion en toda la superficie del larguerillo. Cabe destacar que esta operación se realizo directamente después de la provisión del material a modo de evitar trabajos de mecanizado y otros que generen costos extras a piezas que podrían terminar scrap.",PAM-002,41932804.0,757248.0,60175.0,9455,,18 - 18
60176,Seiya,3768,9455,,,Cerrado,05/12/2024,11/12/2024,,09/01/2025,09/01/2025,Panzer IV,Panzer IV,Santuario,Panzer IV,41932804,756006,60065.0,0,,,PT 2019/419361,,Goku,390-47453-002_MF,18-18,LARGUERILLO 03 DERECHO,"Se observa de forma visual sin aumento, luego de limpieza con métodos abrasivos y mek, la presencia de corrocion en toda la superficie del larguerillo. Cabe destacar que esta operación se realizo directamente después de la provisión del material a modo de evitar trabajos de mecanizado y otros que generen costos extras a piezas que podrían terminar scrap.",PAM-002,41932804.0,757247.0,60176.0,9455,,18 - 18
60177,Sorrento,9317,3300,,,Interviene CRP/CRM,05/12/2024,,,,,Panther,Tiger II,Jamir,Tiger II,59134720,536020,0.0,0,,,PT 2020/200100,,Goku,LSK-J-5090,S/N,"EN REFERENCIA A PDM 3.2.1.5.3, VERTICAL BEAMS AND",SE SOLICITA ENSAYO PARA REVALIDA DE COMPUESTO SELLANTE DE DOS CUMPUESTOS PS870A-2 N° DE LOTE 57978668F-58414403 POR LA CANTIDA C/U 4 LATAS DE 340ML.,COM-020,,,,3300,VARIOS - (ANULAR DESPUES DE ACT.TABLA TALLERES),TC-100
